competencia,ano,mes,departamento,categoria,valor,variacao_pct,is_outlier
2023-01,2023,1,Comercial,Comissões,27406.51,0.0,False
2023-01,2023,1,Comercial,Marketing,35322.11,0.0,False
2023-01,2023,1,Comercial,Eventos,36095.3,0.0,False
2023-01,2023,1,Comercial,CRM,31210.24,0.0,False
2023-01,2023,1,Operações,Logística,67851.99,0.0,False
2023-01,2023,1,Operações,Manutenção,33072.57,0.0,False
2023-01,2023,1,Operações,EPI,63842.35,0.0,False
2023-01,2023,1,Operações,Combustível,61229.78,0.0,False
2023-01,2023,1,Administrativo,Pessoal,51087.08,0.0,False
2023-01,2023,1,Administrativo,Aluguel,57118.93,0.0,False
2023-01,2023,1,Administrativo,TI,54747.31,0.0,False
2023-01,2023,1,Administrativo,Jurídico,21463.88,0.0,False
2023-01,2023,1,Financeiro,IOF/Taxas,19274.91,0.0,False
2023-01,2023,1,Financeiro,Seguros,18647.77,0.0,False
2023-01,2023,1,Financeiro,Auditoria,21777.68,0.0,False
2023-01,2023,1,Financeiro,Câmbio,61022.3,0.0,False
2023-02,2023,2,Comercial,Comissões,65870.57,0.0,False
2023-02,2023,2,Comercial,Marketing,76491.76,0.0,False
2023-02,2023,2,Comercial,Eventos,53354.93,0.0,False
2023-02,2023,2,Comercial,CRM,55050.77,0.0,False
2023-02,2023,2,Operações,Logística,51721.79,0.0,False
2023-02,2023,2,Operações,Manutenção,45289.03,0.0,False
2023-02,2023,2,Operações,EPI,64655.02,0.0,False
2023-02,2023,2,Operações,Combustível,46989.96,0.0,False
2023-02,2023,2,Administrativo,Pessoal,75530.36,0.0,False
2023-02,2023,2,Administrativo,Aluguel,22611.73,0.0,False
2023-02,2023,2,Administrativo,TI,57761.11,0.0,False
2023-02,2023,2,Administrativo,Jurídico,65330.89,0.0,False
2023-02,2023,2,Financeiro,IOF/Taxas,36686.45,0.0,False
2023-02,2023,2,Financeiro,Seguros,64564.59,0.0,False
2023-02,2023,2,Financeiro,Auditoria,38672.48,0.0,False
2023-02,2023,2,Financeiro,Câmbio,25244.76,0.0,False
2023-03,2023,3,Comercial,Comissões,82674.63,0.0,False
2023-03,2023,3,Comercial,Marketing,43508.21,0.0,False
2023-03,2023,3,Comercial,Eventos,55529.56,0.0,False
2023-03,2023,3,Comercial,CRM,71634.36,0.0,False
2023-03,2023,3,Operações,Logística,43015.07,0.0,False
2023-03,2023,3,Operações,Manutenção,67203.31,0.0,False
2023-03,2023,3,Operações,EPI,24744.21,0.0,False
2023-03,2023,3,Operações,Combustível,61486.68,0.0,False
2023-03,2023,3,Administrativo,Pessoal,58028.08,0.0,False
2023-03,2023,3,Administrativo,Aluguel,17221.65,0.0,False
2023-03,2023,3,Administrativo,TI,74829.56,0.0,False
2023-03,2023,3,Administrativo,Jurídico,48838.13,0.0,False
2023-03,2023,3,Financeiro,IOF/Taxas,37741.56,0.0,False
2023-03,2023,3,Financeiro,Seguros,71704.68,0.0,False
2023-03,2023,3,Financeiro,Auditoria,86989.91,0.0,False
2023-03,2023,3,Financeiro,Câmbio,36464.91,0.0,False
2023-04,2023,4,Comercial,Comissões,25334.17,0.0,False
2023-04,2023,4,Comercial,Marketing,67353.72,0.0,False
2023-04,2023,4,Comercial,Eventos,24133.63,0.0,False
2023-04,2023,4,Comercial,CRM,19517.33,0.0,False
2023-04,2023,4,Operações,Logística,28084.23,0.0,False
2023-04,2023,4,Operações,Manutenção,32230.28,0.0,False
2023-04,2023,4,Operações,EPI,133835.4,100.81,True
2023-04,2023,4,Operações,Combustível,21219.74,0.0,False
2023-04,2023,4,Administrativo,Pessoal,77556.63,0.0,False
2023-04,2023,4,Administrativo,Aluguel,259821.53,220.14,True
2023-04,2023,4,Administrativo,TI,87047.02,0.0,False
2023-04,2023,4,Administrativo,Jurídico,69790.76,0.0,False
2023-04,2023,4,Financeiro,IOF/Taxas,20355.21,0.0,False
2023-04,2023,4,Financeiro,Seguros,26724.45,0.0,False
2023-04,2023,4,Financeiro,Auditoria,73327.09,0.0,False
2023-04,2023,4,Financeiro,Câmbio,81286.96,0.0,False
2023-05,2023,5,Comercial,Comissões,74045.44,0.0,False
2023-05,2023,5,Comercial,Marketing,38467.2,0.0,False
2023-05,2023,5,Comercial,Eventos,92881.71,0.0,False
2023-05,2023,5,Comercial,CRM,21880.17,0.0,False
2023-05,2023,5,Operações,Logística,20948.29,0.0,False
2023-05,2023,5,Operações,Manutenção,72124.65,0.0,False
2023-05,2023,5,Operações,EPI,24735.0,0.0,False
2023-05,2023,5,Operações,Combustível,92868.08,0.0,False
2023-05,2023,5,Administrativo,Pessoal,77839.01,0.0,False
2023-05,2023,5,Administrativo,Aluguel,61604.09,0.0,False
2023-05,2023,5,Administrativo,TI,90260.08,0.0,False
2023-05,2023,5,Administrativo,Jurídico,62033.92,0.0,False
2023-05,2023,5,Financeiro,IOF/Taxas,67496.18,0.0,False
2023-05,2023,5,Financeiro,Seguros,29085.27,0.0,False
2023-05,2023,5,Financeiro,Auditoria,48689.44,0.0,False
2023-05,2023,5,Financeiro,Câmbio,26843.98,0.0,False
2023-06,2023,6,Comercial,Comissões,38231.29,0.0,False
2023-06,2023,6,Comercial,Marketing,49488.37,0.0,False
2023-06,2023,6,Comercial,Eventos,65020.41,0.0,False
2023-06,2023,6,Comercial,CRM,48051.81,0.0,False
2023-06,2023,6,Operações,Logística,61540.01,0.0,False
2023-06,2023,6,Operações,Manutenção,20047.8,0.0,False
2023-06,2023,6,Operações,EPI,52961.75,0.0,False
2023-06,2023,6,Operações,Combustível,60349.27,0.0,False
2023-06,2023,6,Administrativo,Pessoal,70082.38,0.0,False
