competencia,ano,mes,cod_cliente,cliente,setor,porte,faixa_aging,valor,inadimplente
2023-01,2023,1,CLI-0010,Cliente 0010,Indústria,Pequeno,A vencer,61843.27,0
2023-01,2023,1,CLI-0051,Cliente 0051,Agronegócio,Médio,31-60 dias,259591.38,0
2023-01,2023,1,CLI-0042,Cliente 0042,Indústria,Médio,A vencer,247013.91,0
2023-01,2023,1,CLI-0045,Cliente 0045,Serviços,Médio,A vencer,260510.44,0
2023-01,2023,1,CLI-0022,Cliente 0022,Construção,Pequeno,1-30 dias,9955.94,1
2023-01,2023,1,CLI-0031,Cliente 0031,Comércio,Pequeno,A vencer,72088.36,0
2023-01,2023,1,CLI-0035,Cliente 0035,Comércio,Pequeno,1-30 dias,17897.03,0
2023-01,2023,1,CLI-0014,Cliente 0014,Construção,Pequeno,A vencer,40706.88,0
2023-01,2023,1,CLI-0033,Cliente 0033,Construção,Pequeno,91-180 dias,9461.5,1
2023-01,2023,1,CLI-0041,Cliente 0041,Indústria,Grande,1-30 dias,556389.21,0
2023-01,2023,1,CLI-0034,Cliente 0034,Indústria,Médio,A vencer,111730.23,0
2023-01,2023,1,CLI-0016,Cliente 0016,Serviços,Médio,A vencer,215274.89,0
2023-01,2023,1,CLI-0012,Cliente 0012,Construção,Pequeno,A vencer,15101.9,0
2023-01,2023,1,CLI-0001,Cliente 0001,Comércio,Médio,61-90 dias,182527.11,0
2023-01,2023,1,CLI-0025,Cliente 0025,Agronegócio,Médio,A vencer,194358.28,0
2023-02,2023,2,CLI-0023,Cliente 0023,Indústria,Pequeno,61-90 dias,61570.36,0
2023-02,2023,2,CLI-0045,Cliente 0045,Serviços,Médio,A vencer,398936.71,0
2023-02,2023,2,CLI-0049,Cliente 0049,Agronegócio,Pequeno,A vencer,35094.87,0
2023-02,2023,2,CLI-0012,Cliente 0012,Construção,Pequeno,A vencer,76148.41,0
2023-02,2023,2,CLI-0033,Cliente 0033,Construção,Pequeno,1-30 dias,65464.32,1
2023-02,2023,2,CLI-0055,Cliente 0055,Indústria,Pequeno,>180 dias,42397.97,0
2023-02,2023,2,CLI-0002,Cliente 0002,Indústria,Pequeno,>180 dias,33554.93,0
2023-02,2023,2,CLI-0042,Cliente 0042,Indústria,Médio,1-30 dias,120976.84,0
2023-02,2023,2,CLI-0051,Cliente 0051,Agronegócio,Médio,A vencer,113050.71,0
2023-02,2023,2,CLI-0014,Cliente 0014,Construção,Pequeno,61-90 dias,49199.84,0
2023-03,2023,3,CLI-0042,Cliente 0042,Indústria,Médio,A vencer,201149.69,0
2023-03,2023,3,CLI-0020,Cliente 0020,Serviços,Médio,A vencer,133140.04,0
2023-03,2023,3,CLI-0033,Cliente 0033,Construção,Pequeno,1-30 dias,34182.25,1
2023-03,2023,3,CLI-0051,Cliente 0051,Agronegócio,Médio,1-30 dias,321772.65,0
2023-03,2023,3,CLI-0022,Cliente 0022,Construção,Pequeno,31-60 dias,74562.86,0
2023-03,2023,3,CLI-0045,Cliente 0045,Serviços,Médio,1-30 dias,96824.32,0
2023-03,2023,3,CLI-0050,Cliente 0050,Serviços,Pequeno,A vencer,74292.53,0
2023-03,2023,3,CLI-0053,Cliente 0053,Agronegócio,Pequeno,1-30 dias,5346.41,1
2023-03,2023,3,CLI-0060,Cliente 0060,Comércio,Grande,1-30 dias,850134.41,1
2023-03,2023,3,CLI-0046,Cliente 0046,Comércio,Pequeno,1-30 dias,68910.9,0
2023-03,2023,3,CLI-0023,Cliente 0023,Indústria,Pequeno,A vencer,5410.48,0
2023-03,2023,3,CLI-0021,Cliente 0021,Indústria,Pequeno,31-60 dias,29803.71,0
2023-03,2023,3,CLI-0041,Cliente 0041,Indústria,Grande,A vencer,852062.33,0
2023-04,2023,4,CLI-0013,Cliente 0013,Agronegócio,Pequeno,A vencer,49570.45,0
2023-04,2023,4,CLI-0030,Cliente 0030,Agronegócio,Pequeno,61-90 dias,33084.8,1
2023-04,2023,4,CLI-0009,Cliente 0009,Construção,Médio,31-60 dias,234164.34,0
2023-04,2023,4,CLI-0025,Cliente 0025,Agronegócio,Médio,>180 dias,274307.66,0
2023-04,2023,4,CLI-0015,Cliente 0015,Serviços,Médio,A vencer,213638.17,0
2023-04,2023,4,CLI-0058,Cliente 0058,Indústria,Pequeno,A vencer,64606.29,0
2023-04,2023,4,CLI-0037,Cliente 0037,Indústria,Médio,31-60 dias,171007.08,0
2023-04,2023,4,CLI-0045,Cliente 0045,Serviços,Médio,61-90 dias,87670.51,0
2023-05,2023,5,CLI-0007,Cliente 0007,Construção,Grande,A vencer,477448.12,0
2023-05,2023,5,CLI-0031,Cliente 0031,Comércio,Pequeno,91-180 dias,35374.55,0
2023-05,2023,5,CLI-0034,Cliente 0034,Indústria,Médio,>180 dias,105835.29,0
2023-05,2023,5,CLI-0060,Cliente 0060,Comércio,Grande,61-90 dias,907387.55,0
2023-05,2023,5,CLI-0036,Cliente 0036,Indústria,Pequeno,A vencer,7692.42,0
2023-05,2023,5,CLI-0022,Cliente 0022,Construção,Pequeno,A vencer,79515.72,0
2023-05,2023,5,CLI-0059,Cliente 0059,Construção,Grande,91-180 dias,432319.38,0
2023-05,2023,5,CLI-0046,Cliente 0046,Comércio,Pequeno,A vencer,72724.19,0
2023-05,2023,5,CLI-0057,Cliente 0057,Construção,Médio,A vencer,379479.71,0
2023-05,2023,5,CLI-0009,Cliente 0009,Construção,Médio,31-60 dias,117601.4,1
2023-05,2023,5,CLI-0037,Cliente 0037,Indústria,Médio,31-60 dias,129842.45,0
2023-05,2023,5,CLI-0023,Cliente 0023,Indústria,Pequeno,61-90 dias,47558.61,0
2023-06,2023,6,CLI-0029,Cliente 0029,Comércio,Médio,A vencer,334652.34,0
2023-06,2023,6,CLI-0004,Cliente 0004,Comércio,Pequeno,A vencer,45762.17,0
2023-06,2023,6,CLI-0012,Cliente 0012,Construção,Pequeno,61-90 dias,77885.29,0
2023-06,2023,6,CLI-0059,Cliente 0059,Construção,Grande,A vencer,765123.09,0
2023-06,2023,6,CLI-0009,Cliente 0009,Construção,Médio,A vencer,195711.69,0
2023-06,2023,6,CLI-0016,Cliente 0016,Serviços,Médio,A vencer,108721.04,0
2023-06,2023,6,CLI-0021,Cliente 0021,Indústria,Pequeno,A vencer,63490.24,0
2023-06,2023,6,CLI-0017,Cliente 0017,Agronegócio,Grande,A vencer,1144547.59,0
2023-06,2023,6,CLI-0050,Cliente 0050,Serviços,Pequeno,1-30 dias,7638.2,1
2023-06,2023,6,CLI-0043,Cliente 0043,Serviços,Médio,A vencer,392235.53,0
2023-06,2023,6,CLI-0060,Cliente 0060,Comércio,Grande,A vencer,812604.54,0
2023-06,2023,6,CLI-0057,Cliente 0057,Construção,Médio,91-180 dias,392701.67,0
2023-06,2023,6,CLI-0011,Cliente 0011,Serviços,Médio,A vencer,129152.59,0
2023-06,2023,6,CLI-0048,Cliente 0048,Agronegócio,Médio,A vencer,142439.76,0
2023-07,2023,7,CLI-0030,Cliente 0030,Agronegócio,Pequeno,A vencer,11793.43,0
2023-07,2023,7,CLI-0050,Cliente 0050,Serviços,Pequeno,A vencer,37838.12,0
2023-07,2023,7,CLI-0020,Cliente 0020,Serviços,Médio,91-180 dias,201059.14,0
2023-07,2023,7,CLI-0013,Cliente 0013,Agronegócio,Pequeno,A vencer,18710.66,0
2023-07,2023,7,CLI-0038,Cliente 0038,Serviços,Pequeno,A vencer,53989.39,0
2023-07,2023,7,CLI-0015,Cliente 0015,Serviços,Médio,1-30 dias,219123.12,0
2023-07,2023,7,CLI-0047,Cliente 0047,Comércio,Médio,1-30 dias,134039.37,0
2023-07,2023,7,CLI-0037,Cliente 0037,Indústria,Médio,A vencer,114339.96,0
2023-07,2023,7,CLI-0031,Cliente 0031,Comércio,Pequeno,A vencer,43966.22,0
2023-08,2023,8,CLI-0031,Cliente 0031,Comércio,Pequeno,A vencer,52820.67,0
2023-08,2023,8,CLI-0051,Cliente 0051,Agronegócio,Médio,A vencer,394043.87,0
2023-08,2023,8,CLI-0006,Cliente 0006,Indústria,Médio,A vencer,366961.72,0
2023-08,2023,8,CLI-0027,Cliente 0027,Construção,Pequeno,A vencer,9524.81,0
2023-08,2023,8,CLI-0057,Cliente 0057,Construção,Médio,31-60 dias,287418.79,0
2023-08,2023,8,CLI-0025,Cliente 0025,Agronegócio,Médio,A vencer,284139.76,0
2023-08,2023,8,CLI-0029,Cliente 0029,Comércio,Médio,61-90 dias,281940.94,0
2023-08,2023,8,CLI-0016,Cliente 0016,Serviços,Médio,1-30 dias,294993.34,0
2023-09,2023,9,CLI-0020,Cliente 0020,Serviços,Médio,A vencer,115431.76,0
2023-09,2023,9,CLI-0013,Cliente 0013,Agronegócio,Pequeno,91-180 dias,16581.73,1
2023-09,2023,9,CLI-0043,Cliente 0043,Serviços,Médio,A vencer,249405.23,0
2023-09,2023,9,CLI-0028,Cliente 0028,Construção,Pequeno,61-90 dias,62040.95,0
