competencia,ano,mes,receita_bruta,deducoes,receita_liquida,cmv,lucro_bruto,desp_vendas,desp_administrativas,desp_outras,total_desp_opex,ebitda,depreciacao,ebit,resultado_financeiro,lair,ir_csll,lucro_liquido,margem_bruta_pct,margem_ebitda_pct,margem_liquida_pct
2023-01,2023,1,4434550.21,822909.15,3611641.06,2158947.6,1452693.46,236931.21,134483.98,57211.93,428627.12,1024066.34,40863.64,983202.7,-42720.7,940482.0,319763.88,620718.12,40.2225,28.3546,17.1866
2023-02,2023,2,4550403.81,791282.34,3759121.47,2104291.07,1654830.4,176747.07,119363.38,62019.74,358130.18,1296700.22,37098.13,1259602.09,-20566.18,1239035.91,421272.21,817763.7,44.0217,34.4948,21.7541
2023-03,2023,3,5428318.03,973484.27,4454833.77,2512497.62,1942336.15,185985.22,144158.95,48310.19,378454.36,1563881.79,45978.26,1517903.52,-53862.6,1464040.92,497773.91,966267.01,43.6006,35.1053,21.6903
2023-04,2023,4,5809247.7,992661.45,4816586.25,2651604.71,2164981.54,233322.74,237158.85,68193.58,538675.18,1626306.37,56087.73,1570218.63,-47440.62,1522778.01,517744.52,1005033.49,44.9485,33.7647,20.8661
2023-05,2023,5,5111466.83,884722.27,4226744.56,2557538.49,1669206.07,206298.16,203609.11,44026.37,453933.63,1215272.43,46800.12,1168472.31,-52582.18,1115890.13,379402.65,736487.49,39.4915,28.752,17.4245
2023-06,2023,6,5187074.57,952663.19,4234411.38,2525993.9,1708417.48,253461.26,186289.3,63261.72,503012.28,1205405.2,34515.89,1170889.31,-23880.24,1147009.07,389983.09,757025.99,40.346,28.4669,17.878
2023-07,2023,7,5265443.05,973555.37,4291887.68,2572392.56,1719495.11,243397.09,151578.31,57076.15,452051.55,1267443.56,59159.57,1208284.0,-57313.53,1150970.46,391329.96,759640.51,40.0638,29.5311,17.6994
2023-08,2023,8,4724101.78,894509.59,3829592.19,2315566.87,1514025.32,243244.0,189118.77,43830.61,476193.38,1037831.94,54660.25,983171.69,-55723.99,927447.7,315332.22,612115.48,39.5349,27.1003,15.9838
2023-09,2023,9,4364330.63,770376.4,3593954.23,2092127.39,1501826.84,215383.54,163794.53,39655.8,418833.87,1082992.97,32279.98,1050713.0,-38272.12,1012440.87,344229.9,668210.98,41.7876,30.1337,18.5926
2023-10,2023,10,3878866.95,688146.66,3190720.29,1881924.74,1308795.55,166528.82,141469.53,50657.3,358655.64,950139.9,37900.18,912239.72,-16196.88,896042.84,304654.57,591388.28,41.0188,29.7782,18.5346
2023-11,2023,11,4109065.52,737129.85,3371935.67,1887561.67,1484374.0,217222.16,131462.43,39471.64,388156.23,1096217.77,29538.26,1066679.51,-20512.25,1046167.26,355696.87,690470.39,44.0214,32.51,20.477
2023-12,2023,12,4209248.2,731522.83,3477725.37,1940630.24,1537095.13,156529.59,123267.39,66950.39,346747.37,1190347.75,44186.87,1146160.88,-26131.35,1120029.54,380810.04,739219.49,44.1983,34.2278,21.2558
2024-01,2024,1,4733014.79,816910.92,3916103.87,2337084.61,1579019.26,159312.44,125032.66,61916.0,346261.09,1232758.17,39038.22,1193719.95,-23857.2,1169862.75,397753.34,772109.42,40.3212,31.4792,19.7163
2024-02,2024,2,5476180.92,983051.68,4493129.24,2619389.81,1873739.43,191863.07,215904.06,60516.6,468283.73,1405455.7,56685.13,1348770.56,-27253.23,1321517.34,449315.89,872201.44,41.7023,31.2801,19.4119
2024-03,2024,3,5782644.48,1009292.28,4773352.2,2814208.68,1959143.52,294376.36,186712.18,75940.0,557028.54,1402114.98,62478.23,1339636.75,-46833.35,1292803.41,439553.16,853250.25,41.0433,29.3738,17.8753
2024-04,2024,4,5734733.6,1051728.81,4683004.79,2826427.17,1856577.63,252209.39,159443.52,47897.95,459550.86,1397026.76,62661.1,1334365.67,-55450.1,1278915.57,434831.29,844084.27,39.645,29.8318,18.0244
2024-05,2024,5,6229904.64,1113552.08,5116352.56,3041314.89,2075037.66,229407.8,184798.22,100206.79,514412.81,1560624.85,44789.51,1515835.35,-37246.41,1478588.93,502720.24,975868.7,40.557,30.5027,19.0735
2024-06,2024,6,5704895.47,1064839.07,4640056.4,2731835.8,1908220.61,255348.54,192953.92,68779.72,517082.17,1391138.43,66872.88,1324265.55,-38899.39,1285366.16,437024.5,848341.67,41.1249,29.9811,18.283
2024-07,2024,7,5898746.81,1085400.69,4813346.12,2835756.4,1977589.72,214527.77,161417.76,85809.22,461754.74,1515834.98,46263.47,1469571.51,-54214.75,1415356.76,481221.3,934135.46,41.0855,31.4923,19.4072
2024-08,2024,8,5171059.2,911385.39,4259673.81,2433451.58,1826222.24,259369.88,200768.16,46120.77,506258.81,1319963.42,35192.95,1284770.48,-59871.14,1224899.34,416465.78,808433.57,42.8723,30.9874,18.9788
