competencia,ano,mes,recebimentos,total_saidas,fco,capex,financiamento,variacao_caixa,saldo_final
2023-01,2023,1,3213712.74,2492108.16,721604.58,179531.43,-30962.0,511111.15,1711111.15
2023-02,2023,2,3557967.17,2369773.59,1188193.59,18276.59,-102715.78,1067201.22,2778312.37
2023-03,2023,3,3974882.21,3014558.26,960323.95,24236.0,21687.95,957775.9,3736088.27
2023-04,2023,4,4307672.8,3157604.47,1150068.33,17680.67,-111166.48,1021221.18,4757309.46
2023-05,2023,5,3922210.25,2951528.37,970681.88,15774.5,37223.12,992130.49,5749439.95
2023-06,2023,6,4022542.45,3025548.28,996994.17,11057.4,-103150.77,882786.0,6632225.95
2023-07,2023,7,3844307.2,3073701.48,770605.72,152372.86,23407.74,641640.6,7273866.55
2023-08,2023,8,3465114.18,2918959.34,546154.84,18732.07,33451.03,560873.8,7834740.35
2023-09,2023,9,3386196.31,2457338.73,928857.58,12669.1,46527.02,962715.5,8797455.85
2023-10,2023,10,3055899.96,2335762.12,720137.84,39557.19,16344.4,696925.04,9494380.89
2023-11,2023,11,3102380.75,2167589.32,934791.43,44035.73,12511.18,903266.89,10397647.78
2023-12,2023,12,3100433.21,2300003.49,800429.72,29681.52,-10777.84,759970.35,11157618.13
2024-01,2024,1,3450537.48,2719295.85,731241.63,134467.63,12429.38,609203.38,11766821.51
2024-02,2024,2,4036503.67,2965987.52,1070516.14,35226.31,-97126.12,938163.71,12704985.22
2024-03,2024,3,4250888.65,3249987.17,1000901.48,53750.25,-28868.43,918282.8,13623268.02
2024-04,2024,4,4374922.52,3259399.17,1115523.35,52556.58,-32582.11,1030384.65,14653652.67
2024-05,2024,5,4552257.3,3721507.07,830750.22,12173.75,25787.26,844363.74,15498016.41
2024-06,2024,6,4271201.59,3280121.41,991080.18,19074.92,-41324.11,930681.15,16428697.56
2024-07,2024,7,4503082.62,3440301.03,1062781.59,87987.06,-54534.79,920259.74,17348957.3
2024-08,2024,8,3946542.33,3029183.68,917358.64,22469.38,-11274.24,883615.02,18232572.32
2024-09,2024,9,3406064.2,2521936.56,884127.64,38561.63,-74701.24,770864.77,19003437.09
2024-10,2024,10,3248721.3,2445951.17,802770.13,30813.12,-96239.37,675717.64,19679154.73
2024-11,2024,11,3476143.7,2372540.97,1103602.73,12462.71,-38760.86,1052379.16,20731533.9
2024-12,2024,12,3360942.05,2392711.1,968230.95,28680.71,-49128.81,890421.44,21621955.33
